Brauerei,Biername,Bierstil,ABV

100 Blumen Brauerei,1010,Kölsch,5.2%
100 Blumen Brauerei,Blanko 1040,Sommer Weizen,4.6%
100 Blumen Brauerei,Bock,Bock (Orange- u. Zitronenschalen),6.6%
100 Blumen Brauerei,Pils 1030,Pils,5.3%
100 Blumen Brauerei,Vienna ComicCon Bier - Aurora Craft,English Pale Ale,4.6%
100 Blumen Brauerei,Wiener Lager 1020,Wiener Lager,5.2%

6 Beers Brewing Co.,Black Dog,Cascadian Dark Ale,6.3%
6 Beers Brewing Co.,Bohémian,Lager,4.8%
6 Beers Brewing Co.,Gold Rush,Steam Lager,5.3%
6 Beers Brewing Co.,Limelight,Milkshake IPA,6.5%
6 Beers Brewing Co.,TropicAle,American Pale Ale,5.2%

Alefried,Fladerant,Saison,6.5%
Alefried,Klabauter,India Pale Ale,7.0%
Alefried,Kleinwild 2018,Wild Ale/Sour,6.6%
Alefried,Mikrozirkus 12 - Old Stock Ale,Wild Ale/Sour,7.1%
Alefried,Mikrozirkus 13 - Fichtenwipfel,Wild Ale/Sour,7.1%
Alefried,Mikrozirkus 14 - Wilde Marille 2018,Wild Ale/Sour,6.7%
Alefried,Oud Bruin 2017,Flemish Brown Sour,9.4%
Alefried,Schlawiner,American Pale Ale,5.6%
Alefried,Schlendrian,Hoppy Belgian,5.2%
Alefried,Wapplerzirkus - Wilde Zirbe 2018,Wild Ale,7.2%
Alefried,Wiener Melange,Sour Ale Blend,6.2%
Alefried,"Wilde Zirbe 2018 Dry Hopped (Amarillo, Citra)",Wild Ale,7.2%

Beaver Brewing Comp.,"Bist wach, oida? (Collab w/ Beaver Brewing Co.)",Juniper Amber Ale,4.8%
Beaver Brewing Comp.,Blackwood,Russian Imperial Stout,8.4%
Beaver Brewing Comp.,Great Pyramid,Imperial Pils,7.1%
Beaver Brewing Comp.,No Name,American IPA,5.8%
Beaver Brewing Comp.,No Name,Dark Rye Ale,6.3%
Beaver Brewing Comp.,No Name (Collab w/ Next Level Brewing),Barley Wine,9.2%
Beaver Brewing Comp.,Old Dog (Inf. w/ Chipotle),Chipotle infused American Porter,6.1%

Bevog,Baltic Fleet (Collab w/ BrewDog),Paltic Porter (Pflaumen),7.2%
Bevog,Deetz,Golden Ale,4.8%
Bevog,Elves Beersley,"Imperial Stout (Schokolade, Vanille)",8.8%
Bevog,Gute Nacht,"Porter (Schokolade, Kokosnuss, Vanille)",5.8%
Bevog,Jazzy & Blues,Barrel Aged Barley Wine,12.1%
Bevog,Kramah,IPA,6.5%
Bevog,Raincoat,Raincoat,6.0%
Bevog,Smoked Pils,Smoked Pils,4.7%
Bevog,Stranger Than Paradise (Collab w/ Wild Beer),Spicy Table Beer,3.1%
Bevog,Swing Lolita Swing,Gose (Himbeeren),5.5%
Bevog,Tak,Pale Ale,5.5%
Bevog,What Goes Up Must Come Down,IPA,6.0%

Bierkanter,Aronia,Vintage Bier,6.0%
Bierkanter,"Bist wach, oida? (Collab w/ Beaver Brewing Co.)",Juniper Red Ale,4.8%
Bierkanter,DD Aurelia,Session Pale Ale,5.3%
Bierkanter,Saisonisfaction,Farmhouse Ale,6.0%
Bierkanter,Zirkusbär,Oatmeal Stout,5.5%
Bierkanter,Zirkusbär Special Edition,Oatmeal Stout mit Gewürzen,5.5%

Bierol,Asian Fusion,Hoppy Wit (Sorachi Ace u. Ingwer),5.5%
Bierol,Bomboclaat,Imp. Stout (Kokosflocken u. Kakaobohnen),8.9%
Bierol,Hardigatti,Pale Ale,5.5%
Bierol,Koida Kaffee,Baltic Porter (Kaffeebohnen u. Vanille),8.2%
Bierol,Mountain Pale Ale,Double Pale Ale,7.3%
Bierol,Placebo Effect,Session IPA,4.5%
Bierol,The Padawan,Pale Ale,5.6%
Bierol,Zwidawuschz,Double Dryhopped IPA,6.0%

Brauerei Göss,Stiftszwickl Dunkel,Dunkles Zwickl,5.7%

Brauerei Schwechat,Wiener Lager,Wiener Lager,5.5%

Brauerei Wieselburg,Schwarzbier,Schwarzbier,4.8%

Brauerei Zipf,Meisterwerke Weizen,Weizenbier,5.3%
Brauerei Zipf,Edelweiss Gamsbock EBS Edition,Weizenbierbock,7.1%

Bräuhaus Ten.Fifty,Sonderedition,Pils,5.0%
Bräuhaus Ten.Fifty,The Golden One,Golden Ale,4.5%
Bräuhaus Ten.Fifty,The Pale One,Pale Ale,5.3%
Bräuhaus Ten.Fifty,The Red One,Red IPA,5.6%
